"Year","ABW","AGO","AIA","ALB","ARG","ATG","AUS","AUT","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","BOL","BRA","BRB","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CYM","CYP","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ESP","ETH","FIN","FJI","FRA","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GTM","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KEN","KHM","KNA","KOR","KWT","LAO","LBN","LBR","LCA","LKA","LSO","LUX","MAR","MDG","MDV","MEX","MLI","MLT","MMR","MNG","MOZ","MRT","MSR","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","PSE","ROU","RWA","SAU","SDN","SEN","SGP","SLE","SLV","STP","SUR","SWE","SWZ","SYC","SYR","TCA","TCD","TGO","THA","TTO","TUN","TUR","TWN","TZA","UGA","URY","USA","VCT","VEN","VGB","VNM","ZAF","ZMB","ZWE"
1970,5914.53,3910.61,8999.29,2871.92,3635.18,4207.87,19500.35,13693.77,760.04,15997.31,1888.43,746.4,1517.12,3734.72,14863.64,16532.59,3889.74,20246.66,1711.44,3501.96,14123.15,1492.47,793.18,1398.45,18531.02,27939,7110.59,1415.82,2764.27,1597.15,2710.6,1359.48,4311.63,2650.4,1393.25,5888.71,26469.52,7290.35,14905.27,6531.47,3400.02,19504.23,2979.29,5435.6,4693.92,1079.49,10763.33,622.28,14941.59,3395.01,16375.96,5475.54,15025.77,4242.51,2542.26,2839.9,1401.15,1519.35,10390.52,1751.14,3036.2,7714.16,2247.78,1148.69,5537.74,988.8,1275.22,9358.11,3762.44,3315.96,16029.73,13481.05,12622.16,6575.89,2823.81,12912.31,1840.5,1661.37,2945.64,1985.9,31851.53,663.11,6005.07,2540.41,2950.62,3005.94,1133.35,25419.59,2105.19,1759.53,1563.97,8093.22,600.7,3610.76,753.45,1221.94,643.39,2404.89,7968.86,4485.52,1115.94,3256.32,6057.17,1373.59,4532.67,6483.8,17929.65,16600.61,762.88,15804.54,11265.57,1801.21,5138.36,3643.05,2286.36,5284.22,7743,2005.63,1436.77,2794.8,997.63,18625.15,1436.01,2211.52,5797.15,1289.28,2517,1831.66,4540.8,19345.96,2406.43,7280.79,3196.97,3278.26,1295.58,1689.56,2228.83,10295.56,2530.03,6671.9,4707.97,1775.57,1044.79,7791.91,23473.16,3033.5,8681.34,5461.92,785,7706.42,3558.38,2469.71
1971,6405.98,4055.18,8710.03,2917.56,3742.27,4447.61,19703.8,14321.32,760.05,16467.73,1899.68,727.04,1453.25,3967.77,14566.58,16212.69,4130.94,20721.46,1772.84,3809.55,14685.5,1482.92,961.59,1328.27,19169.28,29087.31,7711.81,1484.25,2627.32,1556.85,2553.26,1404.12,4629.25,2706.86,1450.92,5908.73,26062.13,7866.66,15406.4,6540.66,3529.26,19836.68,3166.95,5140.14,4803.52,1075.69,11194.71,629.3,15111.42,3560.67,17203.6,6008.8,15244.37,4225.36,2652.86,2750.53,1327.83,1709.31,11127.77,1877.39,3047.82,8358.68,2200.86,1147.31,5836.24,1030.89,1291.74,9655.01,4216.63,3423.01,19344.73,14587.28,12822.98,6677.24,2685.84,13563.41,1908.62,1547.45,3266.44,2267.71,37612.33,677.59,6393,2616.27,3082.66,2956.38,994.37,24205.03,2184.56,1780.31,1585.01,8187.17,602.49,3822.5,756.75,1242.41,676.24,2352.98,8148.08,4545.21,1230.57,3765,6189.54,1386.85,4938.75,6530.15,18658.64,17411.05,734,16542.92,7621.79,1792.18,5583.17,3666.54,2344.91,5631.36,8301.31,2073.41,1613.79,3125.43,977.17,21875.47,1476.05,2140.3,6467.87,1287.73,2478.64,1886.35,4810.38,19322.86,2739.78,8230.5,3430.32,3549.53,1298.19,1726.65,2247.54,9906.47,2691.59,6660.56,5247.18,1793.68,956.82,7825.8,24047.36,3103.28,8166.12,4716.78,795.46,7614.59,2786.39,2607.8
1972,6940.91,3968.92,9644.24,2965.37,3767.19,4705.76,20324.8,15187.65,686.02,17499.89,1885.78,841.48,1351.31,4245.8,15408.64,15609.01,3742.98,20863.43,1770.99,4173.81,14562.98,1452.55,1159.49,1270.34,19993.89,30024.87,7495.91,1466.05,2616.54,1595.97,2349.53,1422.17,5017.25,2711.99,1481.15,6181.53,26631.4,8216.43,16142.21,6396.61,3886.65,20614.95,3401.92,5670.52,4713.74,1118.88,12031.51,644.75,15979.86,3766.28,18012.22,5717.63,15713.73,3520.87,2694,2720.77,1374.84,1693.04,12162.42,2054.39,3152.72,9240.02,2281.75,1140.06,6117.63,1108.15,1297.85,10434.57,4647.17,3220.34,19050.26,15668.87,13404.2,7206.59,2730.8,14607.86,1994.17,1431.37,3553.01,2549.01,37110.16,681.72,6943.56,2552.17,3092.64,2977.84,1175.58,25634.05,2192.74,1670.97,1556.04,8599.46,521.26,4143.75,739.71,1249.22,693.54,2281.26,8343.47,4816.95,1315.5,3839.96,6118.94,1316.71,5177.46,6417.31,19282.97,17892.35,742.29,17634.84,6323.01,1796.68,5767.54,3637.02,2383.13,5852.13,8928.33,2173.65,1841.6,3429.58,984.22,24759.81,1290.24,2154.06,7205.02,1318.52,2575.69,1906.35,4999.05,19636.37,3237.17,8543.75,4094.23,3817.43,1168.17,1706.59,2303.56,10711.22,3104.63,7071.49,5925,1850.09,1083.17,7633.29,25132.89,3767.92,8169.34,4576.44,792.47,7733.44,2922.81,2828.63
1973,7521.43,4181.89,9966.27,3014.07,3910.49,5020.85,21106.32,16015.04,746.07,18804.51,1973.15,788,1113.77,4572.25,17138.98,16224.37,3960.6,20945.14,1837.36,4665.51,15150.2,1429.48,1371.13,1336.26,21386.38,30624.78,7146.1,1535.08,2727.72,1647.46,2601.85,1419.32,5473.38,2852.37,1508.83,6458.07,28623.29,8039.21,16949.23,6304.75,4345.12,21589.57,3674.61,6033.76,4961.29,1104.35,12796.74,647.88,17109.33,4111.04,19186.04,6466.75,16468.43,3890.95,2721.02,2871.9,1374.06,1800.65,13009.89,2180.55,3274.83,10102.37,2400.2,1195.66,6444.07,1242.61,1343.52,11059.04,5493.14,3757.4,21519.14,16329.79,14226.57,7177.84,2510.58,15528.49,1967.6,1137.97,3167.46,3061.09,35539.96,721.98,7222.82,2684.04,3160.41,3124.36,1424.2,28927.65,2218.85,1595.63,1521.14,9015.7,523.05,4427.28,743.86,1320.67,709.41,2225.58,8462.34,4908.4,1232.66,4511.47,6160.7,1104.13,5757.14,6755.99,20423.5,18858.32,719.13,18991.63,5051.38,1844.22,5844.21,3911.67,2591.39,6053.18,9769.06,2292.04,1706.69,3728.13,994.92,27344.5,1155.23,1967.65,7814.78,1335.17,2696.61,1949.93,5299.93,20304.12,3093.7,8996.83,3605.29,4084.3,1058.71,1644.26,2502.15,11620.28,3057.96,7320.86,6456.52,1911.54,1104.56,7920.74,26366.1,3445.57,8932.83,4761.23,764.12,8629.7,3134.24,2863.31
1974,8140.38,4196.31,9884.45,3065.37,4022.25,5192.34,19993.36,16320.04,724.82,19411.97,1965.71,819.91,1099.69,4887.31,17466.14,12803.84,4695.81,20931.57,2086.73,4822.98,14254.63,1450.99,1450.56,1201.94,22300.52,30534.79,6871.98,1547.83,2882.69,1609.11,2713.67,1724.36,5735.94,2858.55,1539.46,6159.16,29509.69,7219.89,16957.84,5654.28,4361.49,20561.9,3951.81,8352.74,5957.41,1194.05,12967.01,642.24,17594.94,4378.62,19454.07,8524.11,15393.62,4210.5,2847.89,2962.37,1406.57,1912.44,11893.87,2354.2,3272.02,9708.33,2214.48,1269.18,6460.1,1442.86,1282.62,10318.55,7843,4082.24,22657.95,16511.45,14758.29,6827.86,2445.09,14875.43,2054.03,1066.31,4189.39,3416.46,70104.6,729.56,7194.04,2630.95,3349.66,3128.84,1382.93,31697.8,2394.85,1528.34,1581.73,9313.45,489.47,4483.4,760.65,1337.38,734.46,2310.91,8749.2,5200.88,1271.64,4817.29,6426.8,1203.28,6562.21,7392.3,21637.47,19318.16,749.76,18268.88,7337.97,1837.13,5640.03,4108.99,2590.92,6432.57,9519.47,2363.04,2006.08,4112.9,983.81,41703.01,1328.33,2109.56,8352.03,1333.19,2604,2021.09,4864.69,20502.15,3071.7,8955.44,4463.68,4359.23,1190.21,2093.05,2475.6,15539.83,3371.77,7967.04,6043.56,1912.88,1000.2,7725.63,25638.65,3098.95,9507.39,5104.67,765.45,8927.96,2903.49,3046.71
1975,8838.01,3876.91,10163.15,3119.23,3914.19,4833.19,19823.13,16383.48,694.97,18956.05,1656.81,807.45,1034.18,5290.48,14320.9,11956.36,4448.33,21517.57,1989.4,4941.06,15585.45,1355.56,1524.41,1139.4,22182.99,28195.68,5411.84,1589.56,2710.26,1600.34,2041.26,1626.12,5943.86,2948.28,1276.68,6393.67,30439.64,5965.89,17048.53,5782.77,4482.7,20238.34,4252.38,7785.37,6273.85,1214.05,12989.76,642.37,17428.98,4707.86,19353.23,8451.07,15322.79,3692.21,2927.61,3042.91,1502.38,2283.45,12307.01,2606.07,3270.76,9925.9,2182.86,1264.94,6594.07,1437.76,1382.06,10513.17,7824.08,4526.92,21356.94,16405.47,14526.56,6914.77,2275.71,15199.01,1939.65,1053.5,4454.14,3831.56,56937.73,762.38,4899.71,2468.53,3227.27,2965.63,1332.07,26165.56,2427.47,1474.32,1475.42,9548.26,529.4,6133.04,771.76,1376.19,730.9,2490.73,9362.78,4966.77,1287.77,4403.31,6381.42,1005.62,6225.14,6518.52,21234.84,19585.04,734.51,17011.49,8022.2,1811.41,5532.79,4003.66,2660.27,6734.22,8786.47,2372.66,1941.35,4469.58,964.45,33129.57,1553.55,2147.74,8421.31,1299.39,2642.04,2100.68,5335.69,21400.96,3781.5,9059.69,4976.17,4672.11,1344.79,1716.88,2488.68,15866.56,3452.07,8321.05,6357.29,1989,1004.37,7919.15,25251.01,2538.56,9094.44,5280.91,771.14,8591.91,2387.88,2864.8
1976,9669.37,3575.97,10279.68,3170.02,3808.78,4340.14,20412.77,16885.24,803.78,20157.26,1688.18,797.9,1142.83,5640.48,19785.82,12649.88,3758.31,23293.09,2069.98,5295.43,12181.3,1435.2,1635.01,1133.99,23276.36,28201.43,5690.42,1530.17,3079.58,1495.68,1794.3,1662.2,6270.12,2865.95,1295.55,6950.72,31452.84,7675.14,17963.5,5602.94,4512.23,21623.71,4057.59,8155.58,6633.41,1223.37,13467.74,656.28,18063.27,4630.13,20217.7,10099.77,16018.11,3248.84,3141.4,2892.28,1609.9,2411.54,12971.09,2846.13,3384.5,11345.59,2529.44,1465.75,7304.02,1507.36,1339.69,10939.35,8044.92,5156.49,21619.25,16145.89,15787.57,6331.2,2562.87,15982.45,1945.16,1070.46,4620.43,4304.32,57629.78,773.01,2096.48,2673.83,4176.78,2824.53,1307.34,27569.43,2548.27,1455.97,1322.17,9799.86,601.5,7173.8,792.53,1390.32,751.84,2618.12,8621.35,6137,1283.97,5155.76,6290.19,1043.41,6249.86,7254.61,22108.33,20275.99,748.59,17434.56,8359.58,1875.1,5443.76,3974.1,2767.83,6894.62,9164.1,2565.08,2187.94,5057.54,1097.92,38693.51,1775.07,2223.44,8922.5,1246.39,2997.96,2081.4,5601.55,21495.79,4180.23,9872.37,4259.84,5037.6,1319.04,1650.45,2675.01,17515.22,3514.63,9042.75,7337.87,2097.59,1051.1,8063.1,26513.8,3492.59,9617.7,5158.02,837.57,8287.01,2490.26,2779.77
1977,10596.88,3511.65,10282.57,3233.53,3903.47,4610.25,20328.1,17606.11,944.08,20531.47,1583.37,844.72,1167.98,5930.18,18983.04,14663.99,4077.81,23658.94,2137.14,5347.51,12314.78,1495.23,1713.86,1171.01,23519.46,28645.23,5947.25,1573.04,3343.63,1681.56,1853.46,1611.17,6517.13,2885.99,1226.29,7789.25,32515.52,9380.71,18660.81,4471.43,4386.51,22054.94,4154.44,8719.39,6803.84,1267.4,13891.88,653.41,17949.97,4824.82,20893.22,9589.77,16816.42,3732.26,3018.88,2848.78,1367.24,2641.65,13151.16,2855.54,3727.27,12240.61,2846.42,1459.81,8094.55,1640.1,1314.39,11759.4,7209.56,5032.92,24728.78,15851,16586.91,5971.6,2763.2,16872.85,2188.24,939.2,4683.51,4662.65,55275.88,749.39,3731.76,2516.34,4566.28,2743.29,1536.9,26628.43,2548.38,1440.55,1399.65,9878.45,622.75,7721.16,803.46,1484.49,727.08,2552.67,8954.51,6137.2,1260.05,5475.66,6245.61,1120.47,7061.76,8069.98,22373.09,20800.01,751.99,16830.7,9360.93,1878.56,5234.96,3873.45,2832.92,7047.07,9539.04,2860.61,2108.83,5382.87,1133.94,36988.23,1945.02,2198.81,9349.58,1226.08,3455.45,2427.05,6342.67,20639.46,4028.21,11169.74,3533.63,5443.16,1233.9,1953.23,2859.74,18064.81,3608.42,8644,8027.16,1978.82,1051.01,7900.04,27473.65,3141.46,9792.62,5252.05,930.59,8066.41,1970.89,2415.65
1978,11615.38,3218.77,11009.72,3294.38,3725.95,4626.97,21151.12,17629.02,864.99,21283.26,1604.09,914.7,1168.32,6245.27,17889.64,16800.96,4121.99,23772.81,2040.6,5385.83,12042.11,1555,1741.63,1171.01,23951.34,29725.45,6280.52,1739.02,3359.1,1989.54,1743.69,1606.32,6795.96,2851.65,1329.67,7863.73,33745.52,10339.63,19484.07,3762.3,4900.86,22784.91,4004.78,9223.27,6851.97,1298.87,14321.62,652.75,18396.97,4874.52,21947.89,10443.53,18114.44,3656.29,3203.65,2924.93,1599.44,1903.84,13906.66,3085.28,3698.71,12908.6,2944.13,1469.85,8907.22,1721.4,1263.86,12803.35,6006.14,5728.28,25522.25,15938.77,17547.62,5734.06,3270.85,18126.58,2189.37,971.74,5252.72,5060.74,50016.57,751.66,3820.57,2500.77,5106.22,2662.65,1852.94,28428.93,2622.39,1363.07,1610.32,10525.51,599.46,8591.91,800.7,1516.28,717.41,2302.75,8887.49,6171.5,1255.63,5655.42,6174.39,1119.47,6849.32,6624.34,22951.98,21327.65,766.72,16931.42,9658.79,1940.76,5702.18,3727.07,2921.03,7083.27,9707.06,3049.21,2336.55,5756.79,1100.91,34332.81,1755.97,2100.12,10246.29,1238.16,3180.57,2538.45,6731.05,20549.37,3713.21,11848.61,3251.56,5881.2,1197.17,2087.49,3082.46,18609.77,3762.31,8163.52,8883.14,1973.22,969.38,8330.01,28785.75,3593.78,9237.94,5617.1,927.03,8249.07,1710.96,2580.19
1979,12701.44,3121.28,11989.84,3331.84,4008.27,5731.59,21637.83,18372.79,862.3,22003.21,1663.94,958.2,1208.99,6787.55,20083.96,23327.89,4370.67,24808.13,2109.05,5569.39,12632.44,1594.24,1933.22,1117.89,24950.51,30445.06,6822.04,1804.49,3180.42,2115.34,2024.1,1821.63,6834.97,3012.42,1353.45,7867.06,35297.17,11805.28,20312.56,3671.71,4172.18,23450.64,4091.07,10414,7130.58,1261.84,14455.01,660.3,18950.53,5503.33,22776.9,11296.42,19210.99,3375.84,3136.7,2746.12,1626.85,1881.87,14016.92,3193.86,3730.5,13936.81,2880.04,1519.66,9707.89,1985.35,1152.24,13115.43,5589.66,7145.48,25677.36,16303.34,19025.84,5045.13,3707.53,18952.21,2083.69,871.57,5797.45,5218.23,66936.64,722.35,4347.92,2421.25,5246.06,2210.03,1502.81,29411.52,2724.15,1461.21,1919.23,11377.85,658.76,9200.66,815.44,1543.47,721.31,2435.3,9938.02,6169.86,1157.65,6256.71,6210.61,1308.93,6276.13,4030.27,23187.93,22515.95,788.52,16851.15,10927.43,1969.12,5644.05,3989.58,2945.17,7018.87,10001.94,2969.86,2240.37,6212.78,1218.57,33738.95,1525.67,2191.72,11203.63,1231.36,3125.3,2871.01,6540.81,21287.28,3603.25,13183.71,2912.65,6320.12,967.31,2077.18,3167.51,20672.06,3994.47,7929.99,9280.42,1956.05,811.83,8993.08,29319.12,3588.39,9873.73,6411.68,967.84,8508,1787.01,2625.25
1980,13809.66,3094.77,12541.24,3437.24,4177.95,5525.09,22110.42,18493.2,837.12,22866.04,1836.2,927.38,1171.55,6844.49,22339.39,22796.17,4962.49,25719.92,2119.68,5488.68,12999.65,1588.82,2236.53,1003.58,25182.41,31377.9,7090.43,1844.41,2432.1,2293.66,2062.26,2121.06,6972.39,3162.81,1428.62,7684.22,36908.99,12454.38,20347.71,3562.45,4331.31,22918.4,4518.17,11111.25,7294.5,1267.24,14548.84,687.04,19551.56,5456.74,22896.4,12712.12,19594.43,3320.37,3246.36,2648.19,1503.12,1744.74,13924.93,2963.18,3773.27,15117.12,2838.02,1584.98,10563.44,2247.97,1134.06,13113.47,3846.9,7071.65,26849.58,16102.37,20090.35,4425.23,4271.06,19291.73,2062.5,830.69,6277.56,4662.77,65342.89,783.04,4464.19,2155.91,5101.74,2042.49,1398.37,30450.72,2659.87,1424.07,2620.24,12441.96,620.01,9736.83,867.79,1717.07,721.19,2348.15,11476.08,5612.11,1159.52,6630.15,7028.54,1331.19,5653.45,4943.49,23750.41,24268.05,716.94,16592.16,11499.09,2027.02,6244.41,4071.53,3113.4,6214.35,10137.31,3362.9,2504.99,6325.55,1154.39,34777.71,1520.08,2023.84,12422.24,1171.95,2783.18,2359.55,5943.25,21343.56,3738.67,11078.34,2766.1,6752.78,890.12,1967.63,3188.19,23142.16,4285.78,7613.37,9516.01,1838.02,743.24,9500.76,28511,3575.89,10416.73,7283.19,912.38,9491.18,1568.52,2687.81
1981,14955.74,2955.37,13259.08,3489.2,4077.94,5791.45,22919.67,18317.12,864.96,21346.38,1964.96,959.06,1165.37,7258.03,20328.14,20404.81,3937.38,25219.51,2165.43,5430.55,12630.34,1751.35,2374.61,1153.69,25583.68,31416.77,7283.35,1826.95,2398.3,2489.13,1923.63,2383.8,6776.96,3093.28,1460.07,6987.31,39078.84,12446.58,19667.79,3493.17,5023.23,21906.47,4704.8,11608.78,7273.34,1414.69,13535.05,744.63,19826.26,4951.24,22084.4,12617.96,19200.68,3028.2,3122.03,3036.35,1344.79,1563.19,13912.02,2820.19,3696.49,15586.27,2723.17,1449.92,10740.25,2383.72,1104.57,13118.16,3415.62,5699.5,27875,16744.34,19588.09,4113.39,4143.56,19121.77,1984.09,822.55,6636.66,4850.06,51555.11,886.55,4478.04,1779.19,4853.61,2258.41,1387.75,29364.12,2580.66,1317.29,2671.34,13247.71,690.12,10222.6,893.76,1554.71,730.62,2352.53,12040.61,5569.56,1195.04,6533.51,6184.03,1197.56,5333.76,4943.34,23022.3,24547.84,766,17131.26,12803.25,2067.36,6490.82,4133.45,3160.87,5811.04,9814.44,3680.13,2267.44,6270.13,1277.44,32983.23,1620.59,2002.84,13308.29,1213.31,2418.85,2071.65,6283.52,21273.05,3954.58,10323,2580.47,7149.32,777.54,1673.97,3278.89,22334.16,4444.48,8299.4,9988.44,1540.35,725.33,9616.53,29045.85,3860.52,10249.38,7142.66,943.37,9195.98,1630.06,3160.61
1982,16076.49,2893.01,13378,3456.06,4016.47,7377.83,22031.81,18464.62,830.27,20628.1,1482.96,928.92,1128.45,7638.21,17491.88,19109.77,3955.63,25947.43,2147.27,5442.96,12066.44,1791.65,2301.57,1110.66,24267.6,31542.09,6172.91,1955.69,2345.31,2685.09,1903.2,2554.06,6674.51,3231.41,1521.88,6555.64,41520.16,13336.51,19329.06,3325.93,5346.48,22175.16,4620.28,11317.53,6954.99,1388.58,13071.15,788.66,19919.93,4737.33,21975.27,11296.77,19254.96,2482.87,3111.51,3139.1,1362.46,1509.95,13399.65,2884.55,3556.01,15903.46,2649.04,1379.31,10860.65,2373.88,1070.44,13348.9,3692.84,5388.78,28615.77,17264.25,19403.12,4037.73,3969.57,18647.93,1967.5,801.56,6440.33,5198.84,40870.45,932.72,2823.56,1699.52,4990.76,2222.36,1340.79,29394.42,2786.08,1294.31,3170.24,12915.75,737.67,10672,919.99,1785.6,685.03,2113.24,12528.64,5925.67,1227.65,6709.16,6078.99,1195.49,5223.96,4670.89,22310.35,24190.69,802.62,17206.97,12765.95,2079.09,6454.1,4069.08,3182.99,5786.42,9855.96,3548.14,2391.09,6574.12,1206.62,27211.09,1786.59,2268.98,14364.93,1254.08,2271.73,2098.3,6025.07,21335.3,3933.97,9106.55,2384.2,7534.84,801.93,1628.82,3364.72,20449.45,4414.93,8096.94,10403.23,1533.5,820.33,8583.86,28218.21,4064.36,9263.24,6997.11,996.55,8958.16,1563.58,3206.79
1983,17319.98,2831.75,13303.27,3512.87,4319.31,7627.48,22982.68,18877.81,848.22,19979.18,1468.53,849.23,1128.64,8112.59,17884.22,18486.74,3868.15,26774.46,2075.46,5231.54,12147.71,1976.65,2422.95,1033.28,24963.28,31678.62,5954.64,2059.37,2327.94,2948.78,1911.66,3038.35,6496.21,3360.1,1610.15,6518.42,45646.64,13715.18,19475.04,3248.65,5622.49,22387.07,4762.7,11564.11,6587.28,1559.56,12652.37,884.76,20026.09,4536.74,21629.71,12135.81,19733.04,2384.87,3067.24,2903.51,1299.63,2303.6,13238.8,2903.83,3486.48,16303.26,2514.8,1392.2,10759.98,2485.87,1058.85,13243.08,3616.96,4637.33,25207.43,18034.87,19234.63,4076.31,3908.58,18148.59,1991.42,808.75,6566.15,5804.79,39755.03,966.21,3685.71,1621.82,5207.15,2269.79,1233.59,29034.18,2938.51,1335.95,2780,11988.73,704.86,10157.03,960.5,1978.9,594.89,2098.8,12161.43,6122.54,1283.28,7106.38,5674.33,1161.3,4984.11,4844.02,22193.77,24461.16,780.87,17990.41,12422.5,2138.95,6513.5,3702.95,3128.06,6216.94,9659.06,3351.29,2229.13,6835.85,1242.44,24001.01,1560.81,2347.43,15599.22,1201.89,2271.8,1968.29,6041.93,21685.79,4126.05,9951.19,2107.35,7929.63,1047.28,1484.55,3456.23,17725.24,4576.08,8297.96,11280.03,1560.99,885.94,7690.1,29397.84,4266.55,9116.07,7117.46,1042.11,8935.4,1583.5,3603.45
1984,18786.71,3035.3,13488.99,3491.63,4539.5,6684.98,23501.09,18864.98,848.56,20022.25,1589.94,838.67,1203.12,8311.99,19817.72,21192.95,3841.03,26379.07,2177.58,5388.61,12627.86,1974.34,2743.88,1086.75,26386.22,32107.3,5983.13,2263.2,2508.71,3221.01,2315.58,3538.2,6516.68,3404.02,1639.41,6877.11,47976.58,15218.85,19619.86,3229.96,5799.79,23031.7,4550.17,11721.28,6514.3,1720.33,12441.03,867.11,20181.36,4699.38,21227.94,11642.65,19932.14,2512.02,3037.37,2873.42,1296.58,2183.43,13382.99,3075.97,3467.19,17807.05,2590.44,1417.36,10873.82,2595.16,1030.92,13451.05,3194.15,4569.15,27402.44,17717.88,19490.41,4103.1,4341.15,18071.6,2071.93,817.07,7183.27,6331.12,38706.1,946.75,5422.9,1492.02,5509.21,2392.29,1229.18,29561.21,3063.16,1347.01,3070.12,11991.74,695.6,10080.74,1006.68,2188.11,624.4,2011.95,12849.68,6219.29,1355.44,7696.18,5727.23,870.59,4450.32,4698.6,22641.09,25805.3,826.21,18610.2,13063.71,2198.67,6353.94,3856.5,2897.69,6754.48,9298.77,3350.41,2273.72,7147.08,1165.44,21548.57,1523.43,2426.65,16431.44,1228.3,2330.97,1886.39,5854.57,22829.72,4008.31,10844.35,1887.01,8373.42,1079.75,1457.43,3635.4,16531.31,4667.22,8550.59,12325.87,1634.68,844.11,7512.96,31519.54,4483.4,9217.86,7139.55,1104.73,8959.18,1829.18,3311.18
